#{"t_start": 1708443781.8848207, "env_id": "AdversarialAgent-v0"}
r,l,t
0.166928,1,0.190657
0.052116,1,0.380093
0.083745,1,0.551465
0.088597,1,0.719028
0.073796,1,0.9079
0.105604,1,1.063956
0.030615,1,1.317545
0.088787,1,1.505281
0.08816,1,1.657792
0.079724,1,1.834796
0.060948,1,2.020222
0.040266,1,2.251118
0.052152,1,2.427006
0.051089,1,2.641678
0.058863,1,2.837692
0.09185,1,3.005221
0.147414,1,3.187572
0.074246,1,3.365615
0.025747,1,3.670527
0.04007,1,3.896533
0.219515,1,8.821004
0.567728,1,8.940874
0.177682,1,9.133615
0.238247,1,9.275494
0.240041,1,9.486027
0.331754,1,9.636148
0.220359,1,9.776739
0.191129,1,9.958393
0.33114,1,10.066285
0.172245,1,10.169021
0.241258,1,10.281012
0.267043,1,10.370962
0.192307,1,10.465641
0.424505,1,10.578572
0.182119,1,10.656472
0.185156,1,10.74424
0.257425,1,10.831049
0.156624,1,10.918118
0.17249,1,11.005655
0.242585,1,11.120932
0.262438,1,14.907756
0.346645,1,14.979889
0.233804,1,15.056304
0.238356,1,15.129367
0.356691,1,15.20471
0.296732,1,15.276814
0.280568,1,15.351823
0.380316,1,15.422499
0.18315,1,15.494516
0.263674,1,15.565254
0.224955,1,15.635753
0.270098,1,15.70294
0.273099,1,15.768336
0.366416,1,15.833896
0.261229,1,15.900572
0.239625,1,15.963879
0.177374,1,16.031305
0.207893,1,16.102075
0.272075,1,16.185454
0.290961,1,16.250218
0.246947,1,20.861474
0.17837,1,20.952803
0.16737,1,21.045643
0.232732,1,21.139351
0.232798,1,21.233092
0.201414,1,21.322656
0.188352,1,21.414607
0.28247,1,21.50807
0.183228,1,21.602098
0.177923,1,21.695577
0.223681,1,21.787402
0.232874,1,21.878767
0.167568,1,21.972941
0.171457,1,22.069194
0.280593,1,22.167678
0.278149,1,22.258567
0.175179,1,22.357285
0.211627,1,22.475819
0.221919,1,22.608708
0.164274,1,22.729647
3.658323,1,28.833567
5.685353,1,28.907839
0.658133,1,28.983646
10.857956,1,29.062814
0.288766,1,29.139952
2.354966,1,29.223818
1.939072,1,29.313027
2.967694,1,29.393198
0.356624,1,29.50205
1.720043,1,29.614863
1.29373,1,29.702331
0.323872,1,29.784082
0.446451,1,29.872247
1.710541,1,29.970225
0.97262,1,30.063637
0.756339,1,30.148856
0.565975,1,30.222595
8.008747,1,30.293976
0.402339,1,30.372265
0.818938,1,30.46015
0.225491,1,35.558664
0.232695,1,35.612031
0.285112,1,35.667755
0.353141,1,35.722075
0.577594,1,35.776381
0.385274,1,35.830193
0.29748,1,35.886663
0.424415,1,35.93947
0.258192,1,35.998534
0.395805,1,36.057285
0.20053,1,36.114568
0.644804,1,36.173023
0.273155,1,36.229168
0.361378,1,36.28382
0.338222,1,36.342439
0.412524,1,36.40166
0.278358,1,36.460384
0.240164,1,36.514717
0.236866,1,36.570969
0.524004,1,36.630187
0.30786,1,40.835225
0.305439,1,40.901617
0.251931,1,40.971913
0.394653,1,41.041944
0.210096,1,41.108922
0.21354,1,41.180367
0.340631,1,41.256468
0.200113,1,41.345585
0.278676,1,41.416639
0.43038,1,41.485074
0.197462,1,41.553411
0.353443,1,41.619189
0.343878,1,41.680503
0.361277,1,41.740073
0.185029,1,41.80758
0.417512,1,41.871906
0.338333,1,42.03019
0.232761,1,42.092649
0.331745,1,42.154512
0.28071,1,42.218017
0.037332,1,46.968807
0.090448,1,47.197028
0.068508,1,47.46314
0.057488,1,47.754955
0.067771,1,48.003437
0.038829,1,48.250842
0.107652,1,48.408627
0.054035,1,48.651259
0.041236,1,48.930335
0.047485,1,49.182373
0.137242,1,49.445175
0.034519,1,49.775351
0.0399,1,50.107351
0.053924,1,50.421623
0.06764,1,50.747055
0.038562,1,51.018062
0.057117,1,51.27137
0.078832,1,51.488253
0.070121,1,51.700359
0.057969,1,51.973368
0.086057,1,57.129194
0.098083,1,57.362856
0.0388,1,57.688381
0.035293,1,57.981987
0.059179,1,58.270209
0.034607,1,58.547307
0.070787,1,58.777848
0.10428,1,58.985572
0.063558,1,59.196903
0.034933,1,59.437649
0.032775,1,59.729025
0.091838,1,59.939797
0.063579,1,60.197486
0.096025,1,60.404976
0.022356,1,60.705241
0.028239,1,61.024703
0.069976,1,61.228601
0.070788,1,61.442011
0.034159,1,61.711345
0.108488,1,61.897244
0.045062,1,66.71584
0.043289,1,66.927823
0.078494,1,67.112826
0.068631,1,67.293523
0.091066,1,67.46423
0.067903,1,67.613966
0.032161,1,67.806447
0.031349,1,68.002482
0.022985,1,68.25668
0.045488,1,68.437682
0.082787,1,68.618211
0.109234,1,68.767068
0.06794,1,68.957836
0.046247,1,69.182574
0.031798,1,69.377578
0.066875,1,69.51934
0.029541,1,69.760541
0.062849,1,69.951687
0.055414,1,70.149724
0.083137,1,70.299803
0.037963,1,74.527861
0.04359,1,74.794725
0.043588,1,75.112439
0.055727,1,75.389622
0.062969,1,75.633162
0.037726,1,75.895513
0.043798,1,76.142079
0.032656,1,76.436462
0.051808,1,76.707193
0.042984,1,76.996268
0.101098,1,77.188157
0.102328,1,77.413949
0.029355,1,77.691593
0.034038,1,77.99493
0.030189,1,78.295611
0.042649,1,78.592746
0.028526,1,78.893675
0.073435,1,79.117865
0.046666,1,79.367597
0.040315,1,79.647441
0.236417,1,84.434144
0.251894,1,84.538257
0.266788,1,84.645792
0.220828,1,84.755147
0.330169,1,84.870649
0.351868,1,84.972313
0.196096,1,85.072419
0.329653,1,85.164193
0.354979,1,85.249597
0.388185,1,85.353393
0.436496,1,85.43532
0.208595,1,85.520153
0.26945,1,85.603899
0.197232,1,85.694877
0.263305,1,85.778264
0.272488,1,85.860166
0.401433,1,85.942898
0.289558,1,86.025466
0.229177,1,86.110311
0.359292,1,86.19368
0.226858,1,91.610167
0.251082,1,91.717561
0.580723,1,91.803369
0.261032,1,91.891116
0.192121,1,91.983915
0.343856,1,92.072643
0.244663,1,92.162733
0.270131,1,92.249182
0.321438,1,92.339151
0.364279,1,92.42387
0.314821,1,92.505315
0.258136,1,92.589704
0.225749,1,92.673254
0.259447,1,92.75452
0.324111,1,92.835575
0.456229,1,92.920113
0.284707,1,93.001855
0.344801,1,93.085631
0.249216,1,93.172634
0.189546,1,93.254991
0.354344,1,98.5889
0.208632,1,98.680653
0.321866,1,98.771595
0.351439,1,98.857405
0.425341,1,98.947781
0.23247,1,99.043738
0.297242,1,99.141102
0.245648,1,99.231982
0.352183,1,99.322494
0.237865,1,99.407739
0.242252,1,99.491498
0.291451,1,99.573543
0.342381,1,99.658511
0.32671,1,99.744408
0.207913,1,99.823356
0.209406,1,99.904036
0.377482,1,99.990436
0.373998,1,100.088232
0.299229,1,100.172974
0.30668,1,100.254858
0.336086,1,105.476002
0.280114,1,105.562924
0.263084,1,105.649471
0.204992,1,105.741662
0.235826,1,105.831582
0.309494,1,105.920091
0.318205,1,106.008188
0.313421,1,106.102203
0.186699,1,106.191804
0.282199,1,106.282044
0.396719,1,106.388245
0.281573,1,106.4728
0.35357,1,106.557609
0.311731,1,106.638651
0.366226,1,106.719516
0.176836,1,106.80504
0.284812,1,106.885952
0.23283,1,106.973516
0.338378,1,107.057437
0.192442,1,107.142615
0.153214,1,112.57182
0.147691,1,112.754243
0.101105,1,112.921648
0.244183,1,113.058877
0.132385,1,113.199209
0.142102,1,113.322923
0.132816,1,113.500414
0.199121,1,113.622239
0.074365,1,113.781735
0.120524,1,113.939025
0.182626,1,114.066277
0.148982,1,114.218526
0.132831,1,114.387359
0.158631,1,114.525402
0.128031,1,114.666098
0.138317,1,114.836238
0.127127,1,114.982216
0.099802,1,115.131584
0.178378,1,115.271684
0.144017,1,115.417602
0.856353,1,119.95997
0.65912,1,120.065655
-46.017604,1,120.164081
-7.349416,1,120.27716
-0.580022,1,120.387886
0.68439,1,120.489562
8.022859,1,120.586233
-0.544003,1,120.693035
10.750835,1,120.79519
0.625889,1,120.884485
-1.068305,1,120.984197
-0.749522,1,121.108517
2.442706,1,121.197348
-0.673834,1,121.296814
1.419896,1,121.383907
0.997141,1,121.501945
0.490556,1,121.674448
4.812427,1,121.781892
-0.718799,1,121.876644
-1.430118,1,121.970436
0.150839,1,125.702147
0.121507,1,125.829903
0.217704,1,125.926245
0.108957,1,126.059364
0.062695,1,126.19526
0.131351,1,126.309101
0.113484,1,126.411551
0.056072,1,126.552892
0.130299,1,126.644678
0.085491,1,126.756993
0.16988,1,126.856825
0.098415,1,126.966787
0.110603,1,127.09146
0.101062,1,127.199806
0.123982,1,127.343071
0.130087,1,127.462717
0.058786,1,127.60399
0.21007,1,127.699913
0.091836,1,127.820855
0.110705,1,127.921737
